author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
1198747073627201536,2022-03-26 01:48:10+00:00, ,1507534845215649792,en,1,0,0,0,Twitter for iPhone,@arr0wsfn Any fast and furious movie
1420129100614750212,2022-03-26 01:48:04+00:00, ,1507534819449790465,en,0,0,0,0,Twitter for iPad,I know this is random but if anyone has any Fast and furious Hot Wheels I will buy them tell me if you have any.
1127509050,2022-03-26 01:47:49+00:00, ,1507534756023574537,en,0,0,0,0,Twitter for iPhone,These fast &amp; furious movies really have gotten out of hand &amp; these random characters 🙄
103767835,2022-03-26 01:47:31+00:00, ,1507534682526785542,en,2,0,2,1,Twitter for iPhone,"@legaultland13 I feel like there could be a podcast for movies that had 1 good/great one and spawned multiple bad/not great ones. 

1.Tremors
2. The Prophecy
3. From Dusk Till Dawn
4. The Fast and The Furious
5. The Land Before Time

Just to name a few"
1315816581021208579,2022-03-26 01:47:10+00:00, ,1507534594525970432,en,0,0,0,0,"Cheap Bots, Done Quick!","When you were fifteen, you sought—relentlessly, might I add—to involve yourself with Lord Gwendal's daughter. Who do you suppose made peace with the furious lord, despite having nothing to do with it? Hm? Me. Always me, always for you. Every time."
23927091,2022-03-26 01:47:01+00:00, ,1507534557888737280,en,2,0,2,0,Twitter for iPhone,"My Angry Juice Container return gang guy came today 😂🤣HE IS FURIOUS!
#Recycle #returnit @returnitgang https://t.co/ZH63M0DoOp"
author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
1201671709717417984,2022-03-26 01:50:09+00:00, ,1507535343423270912,en,0,0,0,0,Twitter Web App,"@jadajadabaaby Also being serious, I got Jade to look at your profile.  If thats not love I dont know what is than:)"
1384850804389998593,2022-03-26 01:50:02+00:00, ,1507535313614254080,en,1,0,1,0,Twitter for iPhone,@dulin_becky Oh its my stupidity. I accidentally started a new account in trying to sign in. So I dont know my password for this account but now everytime I have it send me a password reset it thinks its for that new account. Have my old phone on wifi to check tweete
1356058299188318208,2022-03-26 01:49:58+00:00, ,1507535298569326595,en,14,0,1,0,Twitter for Mac,i dont know whats going on but obi is doing VERY well from the limited stuff ive seen
1337963219466371072,2022-03-26 01:49:54+00:00, ,1507535282304065543,en,3,0,1,0,Twitter for iPad,MY BF GOT A HAIRCUT AND IT LOOKS LIKE A MULLET BUT ITS NOT I DONT KNOW WHAT ITS CALLED
905452766239145985,2022-03-26 01:49:37+00:00, ,1507535209809743872,en,0,0,1,0,Twitter Web App,@veryspicyfridge I DONT KNOW........ we have 100 members n they decided it was good idea i guess! good for them
1275925983766343680,2022-03-26 01:49:27+00:00, ,1507535166562246660,en,0,0,0,0,Twitter for iPhone,sooo baby i will waait for uuuu coz i dont know what else i can doooo
1485828068962934785,2022-03-26 01:49:10+00:00, ,1507535097385439234,en,0,0,0,0,Twitter Web App,i miss something but i dont know what...
1457965612978741251,2022-03-26 01:49:09+00:00, ,1507535091635200003,en,0,0,0,0,Twitter Web App,"Theres nothing else you can do. ,I dont know where youre going ,And I dont know why #GHC #GHCArmy #GalaxyHeroesCoin!19"
1499092176176779264,2022-03-26 01:48:44+00:00, ,1507534986596954112,en,5,0,1,0,Twitter for iPhone,"@LowProfileFool i dont know you, been here since 2015

lets get acquainted first babe ☺️"
1476653419482034179,2022-03-26 01:48:43+00:00, ,1507534985753997317,en,0,0,1,0,Twitter for Android,@stagsupremacy_ I dont know what this means?? lmaoskdbsjs
1028974941486473217,2022-03-26 01:48:42+00:00, ,1507534979793891330,en,0,0,0,0,Twitter for Android,?!?;'(_!_+ I DONT KNOW IF I'LL BELIEVE THIS OR NOT DKDKIDNXJSJS https://t.co/OezunA0lz2
1310805625639591937,2022-03-26 01:48:39+00:00, ,1507534968305635329,en,32,0,1,0,Twitter Web App,"@The_Milk_Mane same, sry, basically he was asking for a ride, and i said i dont know im kinda pre occupied 👀🤣, he looks and and then looks again, walks away, comes back, looks and shouts ""your weird bro"" and waits by the stop to look again haha"
1478854191321784320,2022-03-26 01:48:33+00:00, ,1507534942175064064,en,0,0,1,0,Twitter for Android,"@sun_blossom3105 
I dont know if this went out before cuz i cant see it but here it is again! @Sqaishey i edited one of your light saber flows that u had shared on the sqaishey discord server. I hope u like it! https://t.co/BmHEUPOaeV"
1477938595730239490,2022-03-26 01:47:49+00:00, ,1507534755897638913,en,0,0,0,0,"Cheap Bots, Done Quick!","Yeah it made me feel … um, I dont know, insignificant. But cib said it made him feel the most special he’d ever felt. Like we were the last people on earth, cause it was just us there, together. In the moment. I still wanna feel that one day."
1469238385470550016,2022-03-26 01:47:33+00:00, ,1507534688877006854,en,1,0,0,0,Twitter for Android,"@anko_bun I dont know inch.. Ankhira is 169 CM which I think is 5'6""?"
1130866143760191488,2022-03-26 01:47:18+00:00, ,1507534627124269063,en,2,0,0,0,Twitter for iPhone,i went to sort a picture of minho into my photo albums... but i wasn't paying attention and i dont know what happened but the options disappeared and he wasnt in his folder... o__O did i airdrop him to someone
984712677225390083,2022-03-26 01:47:08+00:00, ,1507534587173302274,en,0,0,0,0,Twitter for iPhone,@itaintaaron I DONT KNOW IF YOU FEEL THE WAY I DO IF YOU LEAVE IM GON FIND U🖤
929902267322523648,2022-03-26 01:46:46+00:00, ,1507534491337695240,en,1,0,1,0,Twitter for Android,"I am a Mitch fan, but if Baker is cut, the Steelers should grab Baker. Mitch not too expensive. That being said... Mitch could win that camp competition and I dont know if Baker would be ok with risking being backup. https://t.co/fMgL5dk2re"
1284952530443804682,2022-03-26 01:46:18+00:00, ,1507534373905739778,en,0,0,0,0,Twitter for iPhone,@DontGoSombra i dont know either man
2325028210,2022-03-26 01:46:06+00:00, ,1507534326669492230,en,0,0,0,0,Twitter for iPhone,@itaintaaron I DONT KNOW IF YOU FEEL THE WAY I DOOOOOO
876606034864984064,2022-03-26 01:45:58+00:00, ,1507534290606776321,en,1,0,1,0,Twitter for iPhone,@caewuh i am like. generally uncaring when it comes to DC in general. just like. not my style of movies but i feel like its silly for them NOT to do joker in a movie… like. it is an obvious cash grab. like? i dont know anything but it would be dumb to not do joker in at least 1 movie
1391121542990422023,2022-03-26 01:45:44+00:00, ,1507534233052622854,en,0,0,2,0,Twitter Web App,@Lewd_Tig3r Jeez. I dont know all that stuff. Im just a kid qwq
3258749353,2022-03-26 01:45:23+00:00, ,1507534144460320768,en,0,0,0,0,Twitter for iPhone,i hate when im doing adult shit and they ask me something and i dont know what it means. i be like “uhh i dont know what that means.” it’s so embarrassing
1465064679840092177,2022-03-26 01:45:08+00:00, ,1507534082523029507,en,1,0,0,0,Twitter Web App,MY BROTHER WANTS TO WATCH SLASHER N EAT??? AT THE SAME TIME??? boy... i dont know who you think i am but i cannot do that. i will only focus on covering my eyes n shit..
1495135725733429250,2022-03-26 01:45:07+00:00, ,1507534079931162628,en,1,0,0,0,Twitter for iPhone,i want to make friends but i dont know what to do
1131293068701962244,2022-03-26 01:45:03+00:00, ,1507534062306668549,en,2,0,0,0,Twitter for iPhone,“I dont know who he is” OH?? #Dateline
1258762025649438724,2022-03-26 01:44:39+00:00, ,1507533960414441474,en,2,0,3,0,Twitter for Android,@BlueSnowman__ @Inspire_Me999 I dont know why but I can't stop laughing at these😭😂
1442645138715545602,2022-03-26 01:44:36+00:00, ,1507533948758331395,en,1,0,0,0,Twitter Web App,trippie the only good artist here (i dont know the others besides mgk and i dont like him) https://t.co/LtWbMNED0v
1359095051033300992,2022-03-26 01:44:17+00:00, ,1507533869628932105,en,1,0,0,0,Twitter for Android,"please help i dont know who to watch for mcc 
ranboo or wilbur"
